HIP,HD,ra_j2000,dec_j2000,tmass_id,theta_LD,e_theta_LD,ref_theta_LD,teff,e_teff,e_teff_percent,logg,e_logg,fe_h
HIP47908,HD84441,146.462847,23.774261,09455108+2346273,2.643,0.015,2009MNRAS.394.1925V,5314,17,0.3,2.36,0.05,-0.03
HIP48455,HD85503,148.191053,26.006905,09524585+2600248,2.887,0.016,2018AJ....155...30B,4519,23,0.5,2.43,0.06,0.27
HIP49081,HD86728,150.253024,31.92395,10010072+3155262,0.771,0.012,2012ApJ...746..101B,5610,46,0.8,4.25,0.02,0.2
HIP49637,HD87837,151.976151,9.997513,10075427+0959510,3.33,0.04,1999AJ....118.3032N,4106,47,1.2,1.59,0.06,-0.02
HIP49908,HD88230,152.842442,49.454254,10112218+4927153,1.268,0.04,2001ApJ...551L..81L,4132,72,1.7,4.63,0.04,0.21
HIP50564,HD89449,154.934155,19.47105,10194419+1928157,0.731,0.026,2013MNRAS.434.1321M,6385,120,1.9,4.12,0.05,0.1
HIP50887,HD90043,155.868175,-0.90222,10232836-0054079,0.659,0.009,2018MNRAS.477.4403W,4801,83,1.7,3.11,0.06,-0.03
HIP51459,HD90839,157.656651,55.980598,10303759+5558501,0.794,0.014,2012ApJ...746..101B,6259,56,0.9,4.4,0.02,-0.12
HIP5336,HD6582,17.066569,54.920788,01081597+5455148,0.973,0.009,2008ApJ...683..424B,5358,31,0.6,4.49,0.01,-0.83
HIP544,HD166,1.653094,29.021544,00063674+2901175,0.624,0.009,2013ApJ...771...40B,5378,40,0.7,4.46,0.02,0.11
HIP5445,HD6755,17.429053,61.547253,01094297+6132501,0.369,0.004,2020A\&A...640A..25K,4977,27,0.5,2.77,0.03,-1.43
HIP54539,HD96833,167.41581,44.498455,11093979+4429544,4.131,0.007,2018AJ....155...30B,4543,6,0.1,2.12,0.05,-0.11
HIP5458,HD6833,17.467729,54.738934,01095225+5444201,0.852,0.008,2020A\&A...640A..25K,4447,42,0.9,1.83,0.02,-0.86
HIP55219,HD98262,169.619775,33.094265,11182874+3305393,4.561,0.016,2018AJ....155...30B,4187,61,1.4,1.38,0.1,-0.14
HIP56127,HD99998,172.578697,-3.003574,11301888-0300128,3.21,0.02,1999AJ....118.3032N,3852,90,2.3,0.95,0.06,-0.39
HIP56343,HD100407,173.250559,-31.857592,11330013-3151273,2.386,0.021,2005A\&A...436..253T,5034,34,0.7,2.78,0.07,-0.09
HIP56997,HD101501,175.262552,34.201794,11410301+3412064,0.91,0.009,2012ApJ...746..101B,5310,28,0.5,4.42,0.01,-0.05
HIP57477,HD102328,176.731713,55.628223,11465561+5537416,1.606,0.006,2010ApJ...710.1365B,4450,31,0.7,2.37,0.08,0.19
HIP57757,HD102870,177.673881,1.764692,11504173+0145528,1.431,0.006,2012ApJ...746..101B,6093,13,0.2,4.08,0.02,0.13
HIP57939,HD103095,178.245026,37.718334,11525880+3743060,0.593,0.004,2020A\&A...640A..25K,5235,18,0.3,4.72,0.01,-1.33
HIP61317,HD109358,88.435594,41.357502,12334454+4121270,1.133,0.034,2018AJ....155...30B,6013,91,1.5,4.41,0.04,-0.2
HIP63584,HD113337,195.445636,63.610233,13014695+6336368,0.386,0.009,2019A\&A...627A..44B,6783,79,1.2,4.24,0.03,0.17
HIP63608,HD113226,195.54416,10.959143,13021059+1057329,3.318,0.013,2018AJ....155...30B,4950,10,0.2,2.72,0.02,0.06
HIP64394,HD114710,197.968278,27.878109,13115238+2752411,1.127,0.011,2012ApJ...746..101B,5930,30,0.5,4.37,0.01,0.06
HIP65721,HD117176,202.107692,13.779093,13282584+1346447,0.998,0.004,2015ApJ...806...60K,5473,22,0.4,3.94,0.08,-0.06
HIP6592,HD8651,21.169992,-41.492573,01244079-4129332,1.228,0.013,2018A\&A...616A..68G,4685,43,0.9,2.39,0.08,-0.2
HIP671,HD360,2.073149,-8.824078,00081755-0849266,0.906,0.015,2018A\&A...616A..68G,4679,79,1.7,2.32,0.11,-0.09
HIP67459,HD120477,207.369487,15.797884,13492867+1547523,4.72,0.04,1999AJ....118.3032N,3950,20,0.5,1.3,0.05,-0.4
HIP67927,HD121370,208.671111,18.397638,13544106+1823514,2.134,0.012,2014ApJ...781...90B,6161,18,0.3,3.82,0.05,0.25
HIP68594,HD122563,210.632737,9.686134,14023185+0941100,0.925,0.011,2020A\&A...640A..25K,4642,35,0.8,1.32,0.03,-2.67
HIP69673,HD124897,213.915334,19.182194,14153968+1910558,21.05,0.21,2008A\&A...485..561L,4277,23,0.5,1.58,0.07,-0.55
HIP70497,HD126660,216.299235,51.85083,14251181+5151029,1.109,0.007,2012ApJ...746..101B,6292,20,0.3,4.06,0.02,-0.03
HIP70791,HD127243,217.157722,49.844852,14283785+4950414,0.971,0.007,2020A\&A...640A..25K,5015,23,0.5,2.5,0.02,-0.7
HIP7083,HD9362,22.812945,-49.072628,01311510-4904214,2.301,0.021,2018A\&A...616A..68G,4750,28,0.6,2.4,0.05,-0.31
HIP71053,HD127665,217.957403,30.371384,14314977+3022169,3.901,0.008,2018AJ....155...30B,4181,56,1.3,1.8,0.05,-0.17
HIP71681,HD128621,219.899707,-60.835274,14393592-6050069,5.999,0.025,2017A\&A...597A.137K,5207,12,0.2,4.53,0.01,0.24
HIP71683,HD128620,219.899707,-60.835274,14393592-6050069,8.502,0.038,2017A\&A...597A.137K,5804,13,0.2,4.29,0.01,0.2
HIP72567,HD130948,222.565893,23.911798,14501581+2354424,0.569,0.011,2013ApJ...771...40B,5812,57,1,4.33,0.03,-0.01
HIP7294,HD9408,23.482715,59.232075,01335585+5913554,1.64,0.09,1999AJ....118.3032N,4774,131,2.7,2.35,0.11,-0.3
HIP73184,HD131977,224.366169,-21.414625,14572788-2124526,1.098,0.014,2020MNRAS.493.2377R,4724,71,1.5,4.63,0.02,0.02
HIP73568,HD133124,225.527079,25.00807,15020649+2500290,3.055,0.077,2018AJ....155...30B,3994,56,1.4,1.37,0.06,-0.1
HIP74666,HD135722,228.875653,33.314938,15153015+3318537,2.764,0.03,2003AJ....126.2502M,4810,30,0.6,2.38,0.09,-0.35
HIP74793,HD136726,229.274513,71.823853,15170588+7149258,2.149,0.023,2018AJ....155...30B,4253,25,0.6,1.78,0.04,-0.02
HIP74975,HD136202,229.828382,1.765385,15191881+0145553,0.785,0.023,2013ApJ...771...40B,5820,99,1.7,3.87,0.04,-0.02
HIP7607,HD9927,24.498171,48.628254,01375956+4837417,3.649,0.007,2018AJ....155...30B,4356,56,1.3,1.99,0.07,0.05
HIP7643,HD10142,24.614528,-36.528248,01382748-3631416,0.964,0.006,2018A\&A...616A..68G,4705,28,0.6,2.38,0.1,-0.13
HIP76976,HD140283,235.762801,-10.9336,15430307-1056009,0.327,0.005,2018MNRAS.475L..81K,5788,45,0.8,3.75,0.09,-2.48
HIP77052,HD140538,236.007613,2.515239,15440182+0230548,0.597,0.015,2013ApJ...771...40B,5667,91,1.6,4.47,0.04,0.05
HIP78072,HD142860,239.11334,15.661475,15562720+1539413,1.217,0.005,2012ApJ...746..101B,6296,16,0.2,4.16,0.01,-0.18
